,Unnamed: 0,mol_cid,canonical_smile,bioactivity_class,0,MW,LogP,NumHDonors,NumHAcceptors,pIC50
531,531,CHEMBL92126,C[C@H](N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)P(=O)(O)O,active,active,496.50000000000017,3.190100000000002,5.0,4.0,7.356547323513812
532,532,CHEMBL329464,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NCP(=O)(O)O,active,active,516.9180000000002,3.455000000000002,5.0,4.0,6.325138859262188
533,533,CHEMBL90545,CC[C@@H](C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,448.45600000000013,2.6050000000000004,5.0,4.0,7.301029995663981
534,534,CHEMBL92326,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NCP(=O)(O)O,active,active,532.5330000000004,3.9548000000000036,5.0,4.0,7.275724130399211
535,535,CHEMBL91399,Cc1ccccc1C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,496.50000000000017,3.1100200000000005,5.0,4.0,6.302770657240282
536,536,CHEMBL328030,CC(C)Oc1ccc(C[C@H](NC(=O)[C@@H](NCP(=O)(O)O)C(C)C)C(=O)O)cc1,active,active,416.4110000000001,1.3350999999999995,5.0,5.0,7.036212172654444
537,537,CHEMBL93785,COc1ccccc1C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,512.4990000000003,2.8102,5.0,5.0,6.795880017344075
538,538,CHEMBL93562,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](CCc1ccccc1)C(=O)O,active,active,372.35800000000006,0.9379999999999993,5.0,4.0,7.0
539,539,CHEMBL92949,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,active,active,397.3680000000001,1.0291999999999997,6.0,4.0,6.619788758288394
540,540,CHEMBL94173,CC[C@H](C)C(N[C@@H](C)C(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,426.5130000000001,2.9429000000000016,4.0,4.0,7.657577319177793
541,541,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,8.0
542,542,CHEMBL418959,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(O)O,active,active,558.5710000000004,4.468600000000005,5.0,4.0,6.382999658879101
543,543,CHEMBL366503,C[C@H](OCc1ccccc1)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,526.5260000000003,3.164200000000001,5.0,5.0,6.1830961606243395
544,544,CHEMBL329666,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)C1(NCP(=O)(O)O)CCCC1,active,active,446.4400000000003,2.5031000000000008,5.0,4.0,6.0
545,545,CHEMBL420253,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NCP(=O)(O)O,active,active,498.4720000000002,2.507200000000001,6.0,5.0,6.0
